Date,Time Boarded,Line,Name,Direction,Bus,Stop Boarded,Stop Alighted,Time Alighted,Comments,Transfer,Mode
2022-11-14,11:57,420,Notre-Dame-de-Grace,East,29-148,Sherbrooke / Girouard,De Maisonneuve / Mansfield ,12:19,yoo first 420,F,
2022-11-15,12:53,144,Av. Des Pins,East,29-064,Dr-Penfield / Côte-des-Neiges,Des Pins / University,12:59,yoo first documented 144 / 5 minutes late,F,
2022-11-15,15:50,24,Sherbrooke,West,31-056,Sherbrooke / Mansfield,Sherbrooke / Côte-des-Neiges,15:55,,F,
2022-11-15,22:55,15,Sainte-Catherine,West,38-031,Station McGill,Station Guy-Concordia (de Maisonneuve / Guy),23:00,,F,
2022-11-17,9:48,24,Sherbrooke,East,38-009,Sherbrooke / Côte-des-Neiges,Université McGill,9:55,,F,
2022-11-18,8:51,144,Av. Des Pins,East,29-002,Dr-Penfield / Côte-des-Neiges,Dr-Penfield / Peel,,,F,
2022-11-18,,24,Sherbrooke,West,38-092,Sherbrooke / University,Sherbrooke / Côte-des-Neiges,,,F,
2022-11-18,17:04,24,Sherbrooke,East,38-098,Sherbrooke / Côte-des-Neiges,Université McGill,17:10,,F,
2022-11-19,13:52,55,Saint-Laurent,North,29-041,Station Saint-Laurent,Saint-Laurent / Duluth,14:01,,F,
2022-11-19,17:10,165,Côte-des-Neiges,North,33-845,Station Guy-Concordia East,Côte-des-Neiges / Summerhill,17:12,,F,
2022-11-19,19:01,66,The Boulevard,West,29-040,Côte-des-Neiges / Sherbrooke,Côte-Saint-Luc / Ellerdale,19:17,to 51,T,
2022-11-19,19:19,51,Édouard-Montpetit,West,41-055,Fielding / Côte-Saint-Luc,West Broadway / Sherbrooke,19:28,from 66,T,
2022-11-19,21:43,105,Sherbrooke,East,37-080,Université Concordia / Campus Loyola,Station Vendôme,21:56,,F,
2022-11-20,1:13,144,Av. Des Pins,West,29-042,des Pins / Parc,des Pins / Côte-des-Neiges,1:19,,F,
2022-11-20,18:36,144,Av. Des Pins,West,30-219,des Pins / Peel,des Pins / Côte-des-Neiges,18:40,,F,
2022-11-22,14:37,24,Sherbrooke,West,30-040,Sherbrooke / Peel,Sherbrooke / Côte-des-Neiges,14:41,,F,
2022-11-23,13:24,144,Av. des Pins,East,31-110,Dr-Penfield / Côte-des-Neiges,Dr-Penfield / Peel,13:29,,F,
2022-11-23,16:14,165,Côte-des-Neiges,North,29-819,Station Guy-Concordia East,Côte-des-Neiges / Summerhill,16:16,,F,
2022-11-23,18:25,24,Sherbrooke,East,31-181,Sherbrooke / Côte-des-Neiges,Sherbrooke / Saint-Laurent ,18:39,Transfer to 55 ,T,
2022-11-23,18:40,55,Saint-Laurent,North,31-009,Saint-Laurent / Sherbrooke,Saint-Laurent / Duluth,,Transfer from 24 (had to jaywalk Saint-Laurent for it),T,
2022-11-24,11:16,55,Saint-Laurent,South,29-024,Saint-Urban / Duluth,Saint-Urban / Sherbrooke,,"Stopped farther away than usually from sherb, detour",F,
2022-11-24,14:34,24,Sherbrooke,West,38-035,Sherbrooke / University,Sherbrooke / Côte-des-Neiges,14:41,,F,
2022-11-26,22:48,144,Av. des Pins,East,31-026,Dr-Penfield / Côte-des-Neiges,des Pins / St-Dominique,23:02,,F,
2022-11-27,0:19,24,Sherbrooke,West,38-008,Sherbrooke / Saint-Laurent,Sherbrooke / Côte-des-Neiges,0:27,,F,
2022-11-28,17:17,24,Sherbrooke,West,38-087,Sherbrooke / Mansfield,Sherbrooke / Côte-des-Neiges,17:22,,F,
2022-11-29,9:46,24,Sherbrooke,East,38-028,Sherbrooke / Côte-des-Neiges,Université McGill,9:54,Traffic and construction ,F,
2022-11-30,14:07,24,Sherbrooke,East,39-034,Sherbrooke / Côte-des-Neiges,Sherbrooke / Peel,14:11,,F,
2022-11-30,17:19,24,Sherbrooke,East,31-229,Sherbrooke / Chomedy,Sherbrooke / Côte-des-Neiges,17:23,,F,
2022-11-30,19:19,24,Sherbrooke,East,38-089,Sherbrooke / Côte-des-Neiges,Sherbrooke / Peel,19:24,,F,
2022-11-30,23:00,165,Côte-des-Neiges,North,31-814,Station Guy-Concordia East,Côte-des-Neiges / Summerhill,23:02,,F,
2022-12-01,9:47,24,Sherbrooke,East,39-035,Sherbrooke / Côte-des-Neiges,Université McGill,9:53,,F,
2022-12-01,11:22,80,Parc,North,33-805,Sherbrooke / De Bleury,Monument Sir-George-Étienne-Cartier,11:28,,F,
2022-12-01,14:53,55,Saint-Laurent,South,31-023,Saint-Urbain / Duluth,Saint-Urbain / Sherbrooke,15:00,Transfer to 24,T,
2022-12-01,15:01,24,Sherbrooke,West,39-035,Sherbrooke / Saint-Urbain,Sherbrooke / Côte-des-Neiges,15:15,Transfer from 55,T,
2022-12-05,13:49,144,Av. des Pins,East,31-043,Dr-Penfield / Peel,des Pins / Saint-Denis,14:01,No more Dr-Penfield / McTavish detour!! also more of des Pins open!,F,
2022-12-05,14:24,24,Sherbrooke,West,31-150,Station Sherbrooke West,Sherbrooke / Redpath,14:41,,F,
2022-12-06,11:45,105,Sherbrooke,West,37-102,Station Vendôme,Sherbrooke / Oxford,11:51,,F,
2022-12-06,13:21,24,Sherbrooke,East,38-013,Décarie / Sherbrooke,Sherbrooke / Peel,,,F,
