Date,Time Boarded,Line,Name,Direction,Bus,Stop Boarded,Stop Alighted,Time Alighted,Comments,Transfer,Mode,duration,DateTimeBoarded,DateTimeAlighted
2023-02-26,18:18:00,TTC_1,Vaughn Metropolitan Centre,South,6012,Lawrence,Bloor,18:31:00,to TTC_2,TRUE,METRO,780,2023-02-26T18:18:00Z,2023-02-26T18:31:00Z
2023-02-26,18:34:00,TTC_2,Kipling,West,5281,Yonge,Spadina,18:38:00,from TTC_1; to TTC_510,TRUE,METRO,240,2023-02-26T18:34:00Z,2023-02-26T18:38:00Z
2023-02-26,18:39:00,TTC_510,Spadina,South,4472,Spadina,Spadina / College,18:49:00,from TTC_2,TRUE,STREETCAR,600,2023-02-26T18:39:00Z,2023-02-26T18:49:00Z
2023-02-26,19:43:00,TTC_506,Carlton,East,4537,College / Beverly,Parliament / Gerrard,19:59:00,NA,FALSE,STREETCAR,960,2023-02-26T19:43:00Z,2023-02-26T19:59:00Z
2023-02-26,23:33:00,TTC_506,Carlton,West,4537,College / Sherbourne,College / Spadina,23:45:00,NA,FALSE,STREETCAR,720,2023-02-26T23:33:00Z,2023-02-26T23:45:00Z
2023-02-27,00:24:00,TTC_2,Kennedy,East,5103,Spadina,Yonge,00:27:00,to TTC_1,TRUE,METRO,180,2023-02-27T00:24:00Z,2023-02-27T00:27:00Z
2023-02-27,00:35:00,TTC_1,Finch,North,5841,Bloor,Lawrence,00:48:00,from TTC_2,TRUE,METRO,780,2023-02-27T00:35:00Z,2023-02-27T00:48:00Z
2023-02-27,10:36:00,TTC_1,Vaughn,South,5593,Lawrence,Queen,10:54:00,to TTC_501,TRUE,METRO,1080,2023-02-27T10:36:00Z,2023-02-27T10:54:00Z
2023-02-27,11:03:00,TTC_501,Queen,East,4538,Queen / Victoria,Queen / Parliament,11:08:00,from TTC_1,TRUE,STREETCAR,300,2023-02-27T11:03:00Z,2023-02-27T11:08:00Z
2023-02-27,12:18:00,TTC_501,Queen,West,4555,Queen / Parliament,Queen / Soho,12:35:00,NA,FALSE,STREETCAR,1020,2023-02-27T12:18:00Z,2023-02-27T12:35:00Z
